data_case,variant,sharing,alpha,n_seeds,test_auc_mean,test_auc_std,client_sigma,rounds,final_mb,final_mb_saved,perclient_wmean,perclient_mean,perclient_std,perclient_worst_mean,valsel_pooled_mean,artifact
filtered,fedgen_zhu_pyhat_full,full,0.5,3,0.6435,0.001,0.0401,8.7,72.794,72.709,0.6571,0.6584,0.0008,0.6084,0.6435,False
filtered,fedgen_zhu_pyhat_full,full,1.0,3,0.6178,0.0013,0.0347,10.0,83.993,83.895,0.6458,0.6256,0.0009,0.5862,0.6178,False
filtered,fedgen_zhu_pyhat_full,full,5.0,3,0.6398,0.0012,0.0318,11.0,92.392,92.285,0.6576,0.6589,0.0017,0.5982,0.6398,False
filtered,fedgen_zhu_pyhat_full,full,10.0,3,0.6492,0.0007,0.0258,7.3,61.595,61.523,0.6564,0.6534,0.0004,0.6173,0.6492,False
filtered,fedgen_zhu_pyhat_full_medoid,full,0.1,3,0.5856,0.0034,0.0811,16.3,137.189,137.029,0.6246,0.5724,0.0031,0.4625,0.5856,False
filtered,fedgen_zhu_pyhat_full_medoid,full,0.5,3,0.6432,0.0004,0.0389,7.3,61.595,61.523,0.6569,0.6574,0.0008,0.6087,0.6432,False
filtered,fedgen_zhu_pyhat_full_medoid,full,1.0,3,0.6155,0.0007,0.0365,8.7,72.794,72.709,0.6443,0.6247,0.0013,0.5847,0.6155,False
filtered,fedgen_zhu_pyhat_full_medoid,full,5.0,3,0.639,0.0008,0.0311,12.3,103.592,103.471,0.6564,0.658,0.0016,0.5997,0.639,False
filtered,fedgen_zhu_pyhat_full_medoid,full,10.0,3,0.6497,0.0009,0.0257,9.3,78.394,78.302,0.6566,0.6537,0.0007,0.6174,0.6497,False
filtered,fedgen_zhu_pyhat_medoid,partial,0.1,3,0.683,0.0066,0.034,12.0,1.358,1.241,0.594,0.5737,0.0046,0.5276,0.7086,False
filtered,fedgen_zhu_pyhat_medoid,partial,0.5,3,0.6105,0.0104,0.03,7.0,0.792,0.724,0.585,0.576,0.006,0.5411,0.6356,False
filtered,fedgen_zhu_pyhat_medoid,partial,1.0,3,0.6221,0.037,0.0296,8.0,0.905,0.827,0.5962,0.5766,0.0023,0.5485,0.6508,False
filtered,fedgen_zhu_pyhat_medoid,partial,5.0,3,0.6529,0.0039,0.0246,9.7,1.094,1.0,0.5863,0.5879,0.003,0.5572,0.6455,False
filtered,fedgen_zhu_pyhat_medoid,partial,10.0,3,0.6206,0.0229,0.0244,8.7,0.981,0.896,0.5821,0.5822,0.0049,0.5398,0.6229,False
unfiltered,fedavg_full,full,0.5,3,0.5826,0.0031,0.064,7.3,60.837,60.837,0.632,0.6056,0.0072,0.4877,0.5826,False
unfiltered,fedavg_full,full,1.0,3,0.6077,0.0007,0.1392,12.0,99.552,99.552,0.7215,0.6615,0.0007,0.479,0.6077,False
unfiltered,fedavg_full,full,5.0,3,0.6395,0.0011,0.0332,12.0,99.552,99.552,0.6574,0.6596,0.0014,0.5968,0.6395,False
unfiltered,fedavg_full,full,10.0,3,0.6481,0.0016,0.0254,10.3,85.725,85.725,0.6549,0.652,0.001,0.6166,0.6481,False
unfiltered,fedavg_partial,partial,0.5,3,0.7758,0.0192,0.068,12.0,0.118,0.118,0.5311,0.5548,0.011,0.4549,0.8076,False
unfiltered,fedavg_partial,partial,1.0,3,0.7477,0.0022,0.1542,15.0,0.148,0.148,0.561,0.5641,0.0649,0.3624,0.7495,False
unfiltered,fedavg_partial,partial,5.0,3,0.6044,0.0131,0.0204,10.7,0.105,0.105,0.5832,0.5829,0.006,0.5493,0.6413,False
unfiltered,fedavg_partial,partial,10.0,3,0.6116,0.0153,0.0192,8.3,0.082,0.082,0.5851,0.5836,0.0038,0.553,0.6228,False
unfiltered,fedgen_full,full,0.5,3,0.5805,0.0043,0.0692,6.0,50.396,50.337,0.6269,0.6,0.0163,0.4754,0.5805,False
unfiltered,fedgen_full,full,1.0,3,0.6069,0.0012,0.1497,12.3,103.591,103.471,0.7313,0.6684,0.0089,0.4801,0.6069,False
unfiltered,fedgen_full,full,5.0,3,0.6388,0.0003,0.0316,12.7,106.391,106.267,0.6563,0.6581,0.0004,0.5977,0.6388,False
unfiltered,fedgen_full,full,10.0,3,0.6502,0.0013,0.025,11.3,95.192,95.081,0.6568,0.6538,0.0009,0.6202,0.6502,False
unfiltered,fedgen_full_medoid,full,0.5,3,0.5805,0.0043,0.0692,6.0,50.396,50.337,0.6269,0.6,0.0163,0.4754,0.5805,False
unfiltered,fedgen_full_medoid,full,1.0,3,0.6072,0.0018,0.1376,14.3,120.39,120.25,0.7205,0.6617,0.0084,0.4827,0.6072,False
unfiltered,fedgen_full_medoid,full,5.0,3,0.6401,0.0012,0.033,10.0,83.993,83.895,0.6582,0.6602,0.0015,0.597,0.6401,False
unfiltered,fedgen_full_medoid,full,10.0,3,0.6494,0.0012,0.0243,11.7,97.992,97.878,0.6559,0.653,0.0016,0.6196,0.6494,False
unfiltered,fedgen_gmm,partial,0.5,3,0.3955,0.0642,0.071,9.3,0.274,0.183,0.5267,0.5497,0.003,0.4303,0.8013,True
unfiltered,fedgen_gmm,partial,1.0,3,0.7617,0.005,0.0755,8.3,0.245,0.163,0.637,0.6103,0.0055,0.5167,0.7599,True
unfiltered,fedgen_gmm,partial,5.0,3,0.5522,0.0539,0.059,10.3,0.304,0.203,0.5425,0.5459,0.0471,0.4977,0.6632,True
unfiltered,fedgen_gmm,partial,10.0,3,0.5906,0.0415,0.0249,14.0,0.411,0.275,0.583,0.583,0.0075,0.543,0.6232,True
unfiltered,fedgen_gmm_full,full,0.5,3,0.5856,0.0019,0.0637,9.7,80.383,80.289,0.6338,0.6073,0.0026,0.4887,0.5856,True
unfiltered,fedgen_gmm_full,full,1.0,3,0.6068,0.0017,0.1423,9.7,80.383,80.289,0.7239,0.6626,0.0062,0.4769,0.6068,True
unfiltered,fedgen_gmm_full,full,5.0,3,0.6402,0.0009,0.0325,11.7,97.014,96.9,0.6582,0.6602,0.0007,0.5982,0.6402,True
unfiltered,fedgen_gmm_full,full,10.0,3,0.6489,0.0012,0.0247,11.3,94.242,94.132,0.6556,0.6527,0.0015,0.6184,0.6489,True
unfiltered,fedgen_paper_full,full,0.5,3,0.5839,0.0006,0.0665,6.0,50.396,50.337,0.6336,0.6066,0.0048,0.4806,0.5839,False
unfiltered,fedgen_paper_full,full,1.0,3,0.608,0.0012,0.1406,10.0,83.993,83.895,0.7175,0.6596,0.0202,0.4808,0.608,False
unfiltered,fedgen_paper_full,full,5.0,3,0.6382,0.0003,0.0319,11.3,95.192,95.082,0.6556,0.6571,0.0001,0.5965,0.6382,False
unfiltered,fedgen_paper_full,full,10.0,3,0.6503,0.0009,0.0259,11.0,92.392,92.285,0.6571,0.6539,0.0014,0.6188,0.6503,False
unfiltered,fedgen_paper_full_medoid,full,0.5,3,0.5836,0.0014,0.0692,8.7,72.794,72.709,0.6431,0.6133,0.0017,0.4886,0.5836,False
unfiltered,fedgen_paper_full_medoid,full,1.0,3,0.61,0.001,0.129,10.0,83.993,83.895,0.7144,0.6587,0.0083,0.4854,0.61,False
unfiltered,fedgen_paper_full_medoid,full,5.0,3,0.6386,0.0006,0.0327,9.0,75.594,75.506,0.657,0.659,0.0006,0.5964,0.6386,False
unfiltered,fedgen_paper_full_medoid,full,10.0,3,0.6505,0.0004,0.026,11.3,95.192,95.082,0.6578,0.6548,0.0005,0.6195,0.6505,False
unfiltered,fedgen_paper_full_no_proto,full,0.5,3,0.5856,0.0024,0.067,6.7,55.93,55.93,0.6315,0.6045,0.0055,0.4766,0.5856,False
unfiltered,fedgen_paper_full_no_proto,full,1.0,3,0.6091,0.0005,0.15,11.0,92.285,92.285,0.7312,0.6685,0.0109,0.4823,0.6091,False
unfiltered,fedgen_paper_full_no_proto,full,5.0,3,0.6394,0.0012,0.0323,11.0,92.285,92.285,0.6568,0.6585,0.0022,0.5974,0.6394,False
unfiltered,fedgen_paper_full_no_proto,full,10.0,3,0.6507,0.0021,0.0258,13.0,109.064,109.064,0.6579,0.6549,0.0018,0.6196,0.6507,False
unfiltered,fedgen_paper_partial,partial,0.5,3,0.7703,0.0273,0.0757,11.7,1.32,1.207,0.5155,0.544,0.007,0.4113,0.8048,False
unfiltered,fedgen_paper_partial,partial,1.0,3,0.7521,0.0014,0.116,10.0,1.132,1.034,0.5877,0.581,0.0451,0.4255,0.7499,False
unfiltered,fedgen_paper_partial,partial,5.0,3,0.5984,0.0265,0.0191,10.7,1.207,1.103,0.5857,0.5858,0.0063,0.5593,0.6376,False
unfiltered,fedgen_paper_partial,partial,10.0,3,0.6026,0.0027,0.0146,10.3,1.17,1.069,0.5795,0.5793,0.0006,0.5583,0.6223,False
unfiltered,fedgen_paper_partial_medoid,partial,0.5,3,0.7867,0.0098,0.1071,10.0,1.132,1.034,0.4986,0.5305,0.0287,0.3607,0.8026,False
unfiltered,fedgen_paper_partial_medoid,partial,1.0,3,0.7416,0.0044,0.1145,6.3,0.717,0.655,0.5434,0.5546,0.0407,0.3995,0.7681,False
unfiltered,fedgen_paper_partial_medoid,partial,5.0,3,0.602,0.0222,0.0229,7.7,0.868,0.793,0.5781,0.58,0.0076,0.5518,0.6428,False
unfiltered,fedgen_paper_partial_medoid,partial,10.0,3,0.6104,0.0137,0.022,7.3,0.83,0.758,0.5826,0.5825,0.0069,0.5484,0.6204,False
unfiltered,fedgen_paper_partial_no_proto,partial,0.5,3,0.7625,0.0428,0.0744,20.3,2.103,2.103,0.5156,0.5417,0.0079,0.4305,0.8049,False
unfiltered,fedgen_paper_partial_no_proto,partial,1.0,3,0.7347,0.0181,0.1118,12.0,1.241,1.241,0.5642,0.5672,0.0461,0.4216,0.7414,False
unfiltered,fedgen_paper_partial_no_proto,partial,5.0,3,0.6243,0.0256,0.0218,7.3,0.758,0.758,0.5893,0.5889,0.0027,0.5527,0.6392,False
unfiltered,fedgen_paper_partial_no_proto,partial,10.0,3,0.5959,0.0098,0.019,8.0,0.827,0.827,0.5829,0.5826,0.003,0.5501,0.6163,False
unfiltered,fedgen_partial,partial,0.5,3,0.7862,0.0183,0.0927,12.3,1.395,1.275,0.5268,0.5559,0.0265,0.4086,0.807,False
unfiltered,fedgen_partial,partial,1.0,3,0.7471,0.0075,0.1423,9.3,1.056,0.965,0.5139,0.5367,0.045,0.3255,0.7578,False
unfiltered,fedgen_partial,partial,5.0,3,0.6278,0.0168,0.0176,11.0,1.245,1.137,0.5816,0.5828,0.0062,0.5585,0.6405,False
unfiltered,fedgen_partial,partial,10.0,3,0.5958,0.0104,0.0214,6.3,0.717,0.655,0.5785,0.5777,0.0024,0.5413,0.6248,False
unfiltered,fedgen_partial_medoid,partial,0.5,3,0.792,0.011,0.0614,10.0,1.131,1.034,0.546,0.5644,0.0184,0.4717,0.806,False
unfiltered,fedgen_partial_medoid,partial,1.0,3,0.7492,0.0049,0.1756,10.3,1.169,1.068,0.4449,0.4938,0.0066,0.1518,0.7561,False
unfiltered,fedgen_partial_medoid,partial,5.0,3,0.6043,0.0144,0.0192,13.0,1.471,1.344,0.5705,0.5729,0.0033,0.5483,0.6451,False
unfiltered,fedgen_partial_medoid,partial,10.0,3,0.6001,0.0057,0.0248,6.7,0.754,0.689,0.5815,0.5803,0.0043,0.5414,0.6249,False
unfiltered,fedgen_zhu,partial,0.5,3,0.6935,0.0761,0.0762,12.3,1.395,1.275,0.5289,0.556,0.0162,0.4339,0.8096,False
unfiltered,fedgen_zhu,partial,1.0,3,0.7307,0.0313,0.1636,15.3,1.735,1.585,0.4852,0.5178,0.0486,0.2554,0.7377,False
unfiltered,fedgen_zhu,partial,5.0,3,0.6306,0.0226,0.0214,8.7,0.981,0.896,0.583,0.5833,0.0003,0.5534,0.6507,False
unfiltered,fedgen_zhu,partial,10.0,3,0.6084,0.012,0.0224,8.0,0.905,0.827,0.5826,0.5818,0.0054,0.5469,0.626,False
unfiltered,fedgen_zhu_code_full,full,0.5,3,0.5863,0.0012,0.0646,8.7,72.709,72.709,0.6375,0.6098,0.0031,0.4888,0.5863,False
unfiltered,fedgen_zhu_code_full,full,1.0,3,0.6082,0.002,0.1198,9.7,81.099,81.099,0.7026,0.6511,0.0129,0.4809,0.6082,False
unfiltered,fedgen_zhu_code_full,full,5.0,3,0.6404,0.001,0.0332,9.3,78.302,78.302,0.6586,0.6611,0.0015,0.5983,0.6404,False
unfiltered,fedgen_zhu_code_full,full,10.0,3,0.6483,0.0015,0.0248,9.0,75.506,75.506,0.6553,0.6525,0.0012,0.6179,0.6483,False
unfiltered,fedgen_zhu_code_full_medoid,full,0.5,3,0.5859,0.0024,0.0631,7.3,61.595,61.523,0.635,0.6097,0.0016,0.4892,0.5859,False
unfiltered,fedgen_zhu_code_full_medoid,full,1.0,3,0.6085,0.0017,0.149,10.3,86.793,86.692,0.7313,0.6687,0.0095,0.4834,0.6085,False
unfiltered,fedgen_zhu_code_full_medoid,full,5.0,3,0.6401,0.0004,0.0324,11.0,92.392,92.285,0.6578,0.6603,0.001,0.5996,0.6401,False
unfiltered,fedgen_zhu_code_full_medoid,full,10.0,3,0.6486,0.0009,0.0236,10.3,86.793,86.692,0.6548,0.652,0.0005,0.6196,0.6486,False
unfiltered,fedgen_zhu_code_partial,partial,0.5,3,0.7778,0.0165,0.0688,11.0,1.138,1.138,0.5448,0.5648,0.0229,0.4553,0.8058,False
unfiltered,fedgen_zhu_code_partial,partial,1.0,3,0.7432,0.0012,0.1237,13.3,1.379,1.379,0.5031,0.5291,0.0296,0.3211,0.7646,False
unfiltered,fedgen_zhu_code_partial,partial,5.0,3,0.6319,0.0221,0.0216,10.0,1.034,1.034,0.583,0.5831,0.0077,0.5536,0.6462,False
unfiltered,fedgen_zhu_code_partial,partial,10.0,3,0.5956,0.0074,0.0207,7.0,0.724,0.724,0.5783,0.5785,0.0029,0.5429,0.6315,False
unfiltered,fedgen_zhu_code_partial_medoid,partial,0.5,3,0.791,0.0086,0.0806,9.7,1.094,1.0,0.5298,0.5551,0.02,0.4325,0.8042,False
unfiltered,fedgen_zhu_code_partial_medoid,partial,1.0,3,0.7464,0.0062,0.0388,11.7,1.32,1.207,0.5815,0.5776,0.0116,0.5242,0.7582,False
unfiltered,fedgen_zhu_code_partial_medoid,partial,5.0,3,0.6038,0.0189,0.0189,12.3,1.396,1.275,0.5851,0.5834,0.0054,0.5592,0.6507,False
unfiltered,fedgen_zhu_code_partial_medoid,partial,10.0,3,0.5948,0.0029,0.0271,7.7,0.868,0.793,0.5726,0.5736,0.0087,0.5302,0.6275,False
unfiltered,fedgen_zhu_full,full,0.5,3,0.5851,0.003,0.065,7.0,58.795,58.727,0.6307,0.6041,0.0083,0.4836,0.5851,False
unfiltered,fedgen_zhu_full,full,1.0,3,0.6061,0.0045,0.1411,14.7,123.189,123.046,0.7237,0.6636,0.0116,0.4878,0.6061,False
unfiltered,fedgen_zhu_full,full,5.0,3,0.6396,0.001,0.0319,11.0,92.392,92.285,0.6572,0.6591,0.0011,0.5996,0.6396,False
unfiltered,fedgen_zhu_full,full,10.0,3,0.6492,0.0004,0.0252,10.3,86.793,86.692,0.656,0.653,0.0001,0.6185,0.6492,False
unfiltered,fedgen_zhu_full_medoid,full,0.5,3,0.5825,0.002,0.0625,6.0,50.396,50.337,0.6254,0.5992,0.0026,0.4794,0.5825,False
unfiltered,fedgen_zhu_full_medoid,full,1.0,3,0.6063,0.0024,0.125,11.3,95.192,95.081,0.7042,0.6507,0.0129,0.4806,0.6063,False
unfiltered,fedgen_zhu_full_medoid,full,5.0,3,0.6409,0.0006,0.033,10.3,86.793,86.692,0.6586,0.6603,0.0006,0.598,0.6409,False
unfiltered,fedgen_zhu_full_medoid,full,10.0,3,0.649,0.0004,0.0248,8.7,72.794,72.709,0.6558,0.6529,0.0004,0.6183,0.649,False
unfiltered,fedgen_zhu_full_no_proto,full,0.5,3,0.5825,0.002,0.0625,6.0,50.337,50.337,0.6254,0.5992,0.0026,0.4794,0.5825,False
unfiltered,fedgen_zhu_full_no_proto,full,1.0,3,0.6071,0.0007,0.1179,9.7,81.099,81.099,0.7002,0.6483,0.0073,0.4763,0.6071,False
unfiltered,fedgen_zhu_full_no_proto,full,5.0,3,0.6399,0.0014,0.0325,9.7,81.099,81.099,0.6576,0.6594,0.0014,0.597,0.6399,False
unfiltered,fedgen_zhu_full_no_proto,full,10.0,3,0.6493,0.0013,0.0248,9.3,78.302,78.302,0.6558,0.6527,0.0008,0.6193,0.6493,False
unfiltered,fedgen_zhu_medoid,partial,0.5,3,0.693,0.1092,0.0585,11.7,1.32,1.206,0.5406,0.561,0.0082,0.4695,0.8046,False
unfiltered,fedgen_zhu_medoid,partial,1.0,3,0.6966,0.0717,0.1838,11.7,1.32,1.206,0.4617,0.5034,0.0398,0.198,0.7108,False
unfiltered,fedgen_zhu_medoid,partial,5.0,3,0.6401,0.0136,0.0187,7.3,0.83,0.758,0.5894,0.5888,0.005,0.5611,0.6529,False
unfiltered,fedgen_zhu_medoid,partial,10.0,3,0.6112,0.0128,0.0226,9.3,1.056,0.965,0.5818,0.5819,0.0017,0.5407,0.6237,False
unfiltered,fedgen_zhu_no_proto,partial,0.5,3,0.7196,0.0419,0.053,10.7,1.103,1.103,0.5721,0.5819,0.0104,0.5129,0.796,False
unfiltered,fedgen_zhu_no_proto,partial,1.0,3,0.5824,0.1073,0.172,8.7,0.896,0.896,0.5476,0.5565,0.0674,0.322,0.6997,False
unfiltered,fedgen_zhu_no_proto,partial,5.0,3,0.6489,0.004,0.0203,10.7,1.103,1.103,0.5842,0.5852,0.002,0.5547,0.6519,False
unfiltered,fedgen_zhu_no_proto,partial,10.0,3,0.5961,0.0325,0.0248,10.0,1.034,1.034,0.5861,0.5852,0.003,0.5432,0.6234,False
unfiltered,fedgen_zhu_pyhat,partial,0.5,3,0.735,0.0488,0.063,14.0,1.585,1.448,0.5428,0.5624,0.0083,0.4754,0.8039,False
unfiltered,fedgen_zhu_pyhat,partial,1.0,3,0.746,0.0081,0.045,16.7,1.886,1.724,0.5901,0.5842,0.015,0.5279,0.7572,False
unfiltered,fedgen_zhu_pyhat,partial,5.0,3,0.6338,0.0133,0.0209,11.3,1.283,1.172,0.5852,0.5857,0.0076,0.5605,0.6493,False
unfiltered,fedgen_zhu_pyhat,partial,10.0,3,0.6227,0.0113,0.0193,9.3,1.056,0.965,0.5813,0.5809,0.0046,0.5516,0.6254,False
unfiltered,fedgen_zhu_pyhat_full,full,0.5,3,0.5842,0.0011,0.0693,8.3,69.994,69.913,0.6417,0.611,0.0027,0.4854,0.5842,False
unfiltered,fedgen_zhu_pyhat_full,full,1.0,3,0.6083,0.0011,0.1505,10.7,89.593,89.489,0.7302,0.6683,0.0163,0.4836,0.6083,False
unfiltered,fedgen_zhu_pyhat_full,full,5.0,3,0.6398,0.0012,0.0318,11.0,92.392,92.285,0.6576,0.6589,0.0017,0.5982,0.6398,False
unfiltered,fedgen_zhu_pyhat_full,full,10.0,3,0.6492,0.0007,0.0258,7.3,61.595,61.523,0.6564,0.6534,0.0004,0.6173,0.6492,False
unfiltered,fedgen_zhu_pyhat_full_medoid,full,0.5,3,0.5862,0.0029,0.0666,8.0,67.195,67.116,0.6351,0.6062,0.005,0.4823,0.5862,False
unfiltered,fedgen_zhu_pyhat_full_medoid,full,1.0,3,0.6093,0.0003,0.1477,11.3,95.192,95.082,0.7326,0.6702,0.0011,0.4841,0.6093,False
unfiltered,fedgen_zhu_pyhat_full_medoid,full,5.0,3,0.639,0.0008,0.0311,12.3,103.592,103.471,0.6564,0.658,0.0016,0.5997,0.639,False
unfiltered,fedgen_zhu_pyhat_full_medoid,full,10.0,3,0.6497,0.0009,0.0257,9.3,78.394,78.302,0.6566,0.6537,0.0007,0.6174,0.6497,False
unfiltered,fedgen_zhu_pyhat_medoid,partial,0.5,3,0.7422,0.0516,0.0654,8.7,0.981,0.896,0.5273,0.5518,0.0167,0.4479,0.7978,False
unfiltered,fedgen_zhu_pyhat_medoid,partial,1.0,3,0.6462,0.0281,0.139,8.0,0.905,0.827,0.5561,0.5616,0.0602,0.3905,0.7235,False
unfiltered,fedgen_zhu_pyhat_medoid,partial,5.0,3,0.6529,0.0039,0.0246,9.7,1.094,1.0,0.5863,0.5879,0.003,0.5572,0.6455,False
unfiltered,fedgen_zhu_pyhat_medoid,partial,10.0,3,0.6206,0.0229,0.0244,8.7,0.981,0.896,0.5821,0.5822,0.0049,0.5398,0.6229,False
