protocol,method,alpha,n_reps,clean_mse_mean,clean_mse_std,clean_rmse_mean,clean_mae_mean,clean_mae_std,clean_mse_user_worst,old_last_mse,old_best_mse,old_last_mae
client_local,centralized,0.01,1,0.1578,,0.3972,0.3769,,0.1578,0.0322,0.0308,0.0722
client_local,centralized,0.1,1,0.0322,,0.1794,0.0703,,0.0322,0.034,0.033,0.0747
client_local,centralized,0.5,1,0.0333,,0.1825,0.0724,,0.0333,0.0341,0.0325,0.0744
client_local,centralized,1.0,1,0.033,,0.1817,0.0725,,0.033,0.0349,0.0322,0.0759
client_local,centralized,5.0,1,0.0329,,0.1815,0.077,,0.0329,0.0349,0.0324,0.0753
client_local,centralized,10.0,1,0.0333,,0.1824,0.0775,,0.0333,0.0331,0.0325,0.0755
client_local,fedavg,0.01,3,0.1644,0.007,0.4054,0.3147,0.0489,0.4352,0.1673,0.1521,0.2813
client_local,fedavg,0.1,3,0.2169,0.0041,0.4657,0.3431,0.0026,0.512,0.2123,0.1709,0.3357
client_local,fedavg,0.5,3,0.2208,0.0035,0.4699,0.3464,0.0022,0.4968,0.2166,0.1717,0.3394
client_local,fedavg,1.0,3,0.2201,0.0037,0.4691,0.346,0.0023,0.4843,0.2163,0.1719,0.3394
client_local,fedavg,5.0,3,0.222,0.0032,0.4712,0.3472,0.0021,0.3305,0.2179,0.1718,0.3403
client_local,fedavg,10.0,3,0.2224,0.0032,0.4716,0.3476,0.002,0.3025,0.2181,0.1718,0.3404
client_local,fedavg-adam,0.01,2,0.1278,0.0787,0.3484,0.2405,0.0763,0.3444,0.1274,0.1041,0.2369
client_local,fedavg-adam,0.1,2,0.0462,0.0024,0.2148,0.1169,0.0022,0.0628,0.0529,0.0471,0.1499
client_local,fedavg-adam,0.5,2,0.0361,0.0001,0.19,0.0816,0.0018,0.0466,0.0366,0.0364,0.0827
client_local,fedavg-adam,1.0,2,0.0346,0.0004,0.1861,0.0816,0.0014,0.0447,0.0363,0.0362,0.0838
client_local,fedavg-adam,5.0,2,0.0348,0.0001,0.1866,0.0771,0.0009,0.0438,0.0351,0.035,0.0779
client_local,fedavg-adam,10.0,2,0.0339,0.0002,0.1843,0.0754,0.0009,0.0426,0.0346,0.0345,0.0765
client_local,fedavg-le1,0.01,1,0.1553,,0.3941,0.3656,,0.3052,0.1536,0.1536,0.3644
client_local,fedavg-le1,0.1,1,0.1749,,0.4182,0.3896,,0.3021,0.172,0.171,0.3862
client_local,fedavg-le1,0.5,1,0.1753,,0.4187,0.3899,,0.2928,0.173,0.1718,0.3874
client_local,fedavg-le1,1.0,1,0.1754,,0.4188,0.39,,0.2886,0.1732,0.172,0.3879
client_local,fedavg-le1,5.0,1,0.1755,,0.4189,0.3902,,0.2156,0.1731,0.1719,0.3877
client_local,fedavg-le1,10.0,1,0.1756,,0.419,0.3904,,0.2045,0.1731,0.1719,0.3877
client_local,fedavg-le10,0.01,1,0.1789,,0.423,0.2995,,0.5345,0.1754,0.1523,0.2928
client_local,fedavg-le10,0.1,1,0.2247,,0.474,0.3542,,0.5268,0.2197,0.171,0.3463
client_local,fedavg-le10,0.5,1,0.2258,,0.4752,0.356,,0.5043,0.2215,0.1718,0.3488
client_local,fedavg-le10,1.0,1,0.226,,0.4754,0.3561,,0.4941,0.2219,0.172,0.3491
client_local,fedavg-le10,5.0,1,0.226,,0.4754,0.3563,,0.3346,0.2217,0.1719,0.3491
client_local,fedavg-le10,10.0,1,0.2262,,0.4756,0.3566,,0.3062,0.2217,0.1719,0.3492
client_local,fedavg-le5,0.01,1,0.1605,,0.4006,0.3217,,0.4298,0.1577,0.1523,0.3195
client_local,fedavg-le5,0.1,1,0.1953,,0.4419,0.3641,,0.4242,0.1911,0.171,0.3597
client_local,fedavg-le5,0.5,1,0.1961,,0.4429,0.3652,,0.4071,0.1926,0.1718,0.3618
client_local,fedavg-le5,1.0,1,0.1963,,0.443,0.3653,,0.3995,0.1929,0.172,0.3622
client_local,fedavg-le5,5.0,1,0.1963,,0.4431,0.3656,,0.2762,0.1928,0.1719,0.3622
client_local,fedavg-le5,10.0,1,0.1965,,0.4433,0.3658,,0.2545,0.1928,0.1719,0.3621
client_local,fedavg-lr0.05,0.1,2,0.0402,0.0008,0.2006,0.0937,0.0018,0.0599,0.0445,0.042,0.1
client_local,fedavg-lr0.05,1.0,2,0.0375,0.0003,0.1935,0.0806,0.0014,0.0518,0.0389,0.0389,0.0825
client_local,fedavg-partial,0.01,1,0.0592,,0.2434,0.0956,,0.2024,0.06,0.0594,0.0952
client_local,fedavg-partial,0.1,1,0.0998,,0.316,0.1481,,0.2412,0.1003,0.0952,0.1481
client_local,fedavg-partial,0.5,1,0.1569,,0.3961,0.2648,,0.2402,0.1561,0.1506,0.2628
client_local,fedavg-partial,1.0,1,0.1435,,0.3789,0.2246,,0.2189,0.1441,0.1367,0.2243
client_local,fedavg-partial,5.0,1,0.1899,,0.4358,0.3307,,0.2327,0.1871,0.1704,0.3259
client_local,fedavg-partial,10.0,1,0.1994,,0.4466,0.3398,,0.2396,0.1962,0.1715,0.3339
client_local,fedgen,0.01,3,0.0599,0.0022,0.2448,0.1395,0.0069,0.0906,0.0567,0.0554,0.1357
client_local,fedgen,0.1,3,0.0442,0.0008,0.2103,0.1068,0.002,0.059,0.0463,0.0461,0.1101
client_local,fedgen,0.5,3,0.0413,0.0011,0.2032,0.0967,0.0025,0.0515,0.0412,0.0405,0.0964
client_local,fedgen,1.0,3,0.0394,0.0012,0.1984,0.0941,0.0025,0.0492,0.0406,0.04,0.0954
client_local,fedgen,5.0,3,0.0419,0.0017,0.2047,0.0977,0.0046,0.0517,0.0414,0.0409,0.0975
client_local,fedgen,10.0,3,0.0407,0.0002,0.2018,0.095,0.0004,0.0508,0.0402,0.0396,0.0944
client_local,fedgen-adam,0.01,2,0.1975,0.0068,0.4444,0.2961,0.0006,0.6049,0.3055,0.1498,0.4249
client_local,fedgen-adam,0.1,2,0.1291,0.1235,0.3348,0.2241,0.1641,0.2846,0.1025,0.1016,0.2341
client_local,fedgen-adam,0.5,2,0.0309,0.0001,0.1758,0.072,0.0001,0.0422,0.0321,0.0309,0.0781
client_local,fedgen-adam,1.0,2,0.0305,0.0013,0.1745,0.0706,0.0025,0.0405,0.0327,0.0308,0.079
client_local,fedgen-adam,5.0,2,0.0307,0.0,0.1752,0.0673,0.0011,0.0388,0.0316,0.0306,0.0742
client_local,fedgen-adam,10.0,2,0.0306,0.0002,0.1749,0.0673,0.0001,0.0378,0.0316,0.0305,0.0778
client_local,fedgen-le1,0.01,1,0.1571,,0.3964,0.3355,,0.3914,0.1546,0.1526,0.3336
client_local,fedgen-le1,0.1,1,0.1858,,0.4311,0.3745,,0.3775,0.1821,0.1709,0.3703
client_local,fedgen-le1,0.5,1,0.1853,,0.4305,0.3757,,0.3584,0.1822,0.1717,0.3725
client_local,fedgen-le1,1.0,1,0.1853,,0.4304,0.3771,,0.3498,0.1824,0.1719,0.3743
client_local,fedgen-le1,5.0,1,0.1893,,0.4351,0.3717,,0.2594,0.186,0.1718,0.3684
client_local,fedgen-le1,10.0,1,0.1884,,0.434,0.3731,,0.2376,0.185,0.1718,0.3696
client_local,fedgen-le10,0.01,1,0.0724,,0.269,0.1717,,0.1201,0.0671,0.0608,0.1644
client_local,fedgen-le10,0.1,1,0.0634,,0.2518,0.15,,0.0891,0.0622,0.0621,0.1482
client_local,fedgen-le10,0.5,1,0.0648,,0.2545,0.1521,,0.0905,0.0599,0.0599,0.145
client_local,fedgen-le10,1.0,1,0.0639,,0.2528,0.1515,,0.0866,0.0609,0.0609,0.147
client_local,fedgen-le10,5.0,1,0.0619,,0.2489,0.1501,,0.0744,0.0591,0.0591,0.1463
client_local,fedgen-le10,10.0,1,0.0639,,0.2529,0.1601,,0.0771,0.0604,0.0604,0.1545
client_local,fedgen-le5,0.01,1,0.1863,,0.4316,0.2968,,0.5642,0.1784,0.1523,0.2919
client_local,fedgen-le5,0.1,1,0.2283,,0.4778,0.3515,,0.5389,0.2165,0.1706,0.3444
client_local,fedgen-le5,0.5,1,0.2299,,0.4795,0.3539,,0.5169,0.2255,0.1714,0.3466
client_local,fedgen-le5,1.0,1,0.2289,,0.4785,0.3528,,0.5039,0.2191,0.1716,0.3463
client_local,fedgen-le5,5.0,1,0.2343,,0.484,0.3549,,0.3494,0.2247,0.1715,0.3478
client_local,fedgen-le5,10.0,1,0.2289,,0.4785,0.3547,,0.311,0.2208,0.1715,0.3474
client_local,fedgen-partial,0.01,3,0.0432,0.0001,0.2077,0.0748,0.0004,0.1346,0.0444,0.0429,0.0752
client_local,fedgen-partial,0.1,3,0.0545,0.0027,0.2333,0.1062,0.0047,0.0916,0.0554,0.0554,0.1064
client_local,fedgen-partial,0.5,3,0.0482,0.0026,0.2195,0.1098,0.0039,0.0655,0.0478,0.0478,0.1089
client_local,fedgen-partial,1.0,3,0.0573,0.0013,0.2395,0.1213,0.0019,0.1574,0.0581,0.0581,0.1218
client_local,fedgen-partial,5.0,3,0.0418,0.0017,0.2044,0.0998,0.0046,0.0516,0.041,0.0408,0.0994
client_local,fedgen-partial,10.0,3,0.0407,0.0002,0.2018,0.0964,0.0007,0.0518,0.0401,0.0396,0.0957
global,fedgen,0.01,1,0.0704,,0.2654,0.1726,,0.0704,0.0613,0.0613,0.1576
global,fedgen,0.1,1,0.05,,0.2235,0.1372,,0.05,0.0499,0.0487,0.1306
global,fedgen,0.5,1,0.0373,,0.1932,0.1071,,0.0373,0.0407,0.0407,0.111
global,fedgen,1.0,1,0.0481,,0.2194,0.1347,,0.0481,0.0457,0.0457,0.123
global,fedgen,5.0,1,0.0363,,0.1906,0.0977,,0.0363,0.0423,0.0421,0.1051
global,fedgen,10.0,1,0.0332,,0.1822,0.0933,,0.0332,0.0393,0.0393,0.0991
global,fedgen-partial,0.01,1,0.1957,,0.4424,0.3896,,0.2198,0.2531,0.1751,0.3692
global,fedgen-partial,0.1,1,0.1937,,0.4401,0.3887,,0.2118,0.2662,0.1751,0.3769
global,fedgen-partial,0.5,1,0.0985,,0.3139,0.1898,,0.3863,0.0981,0.0962,0.188
global,fedgen-partial,1.0,1,0.1338,,0.3658,0.2293,,0.3991,0.1358,0.1317,0.2297
global,fedgen-partial,5.0,1,0.0463,,0.2151,0.1282,,0.0664,0.0471,0.0466,0.1251
global,fedgen-partial,10.0,1,0.0347,,0.1864,0.0959,,0.0411,0.0409,0.0406,0.1029
